"yyyy-mm-dd","team1","team2","score1","score2"
"31/03/2012","Elfsborg","Djurgarden","2","1"
"31/03/2012","GAIS","Hacken","0","0"
"31/03/2012","Sundsvall","Kalmar","0","1"
"01/04/2012","AIK","Mjallby","0","0"
"01/04/2012","Syrianska","Goteborg","2","1"
"02/04/2012","Malmo FF","Gefle","0","0"
"02/04/2012","Orebro","Atvidabergs","3","4"
"02/04/2012","Norrkoping","Helsingborg","1","0"
"06/04/2012","Atvidabergs","GAIS","2","1"
"06/04/2012","Gefle","Syrianska","1","1"
"07/04/2012","Hacken","Malmo FF","5","0"
"07/04/2012","Mjallby","Orebro","0","0"
"08/04/2012","Djurgarden","Sundsvall","1","0"
"08/04/2012","Helsingborg","Elfsborg","2","1"
"09/04/2012","Goteborg","Norrkoping","1","2"
"09/04/2012","Kalmar","AIK","1","2"
"10/04/2012","Atvidabergs","Gefle","6","1"
"11/04/2012","GAIS","Djurgarden","0","0"
"11/04/2012","Orebro","Helsingborg","0","0"
"12/04/2012","Elfsborg","Norrkoping","2","0"
"12/04/2012","Hacken","Mjallby","4","2"
"12/04/2012","Sundsvall","Syrianska","4","0"
"12/04/2012","AIK","Goteborg","1","1"
"13/04/2012","Malmo FF","Kalmar","2","0"
"15/04/2012","Syrianska","AIK","0","1"
"15/04/2012","Goteborg","Orebro","2","2"
"15/04/2012","Mjallby","Atvidabergs","2","0"
"16/04/2012","Gefle","Elfsborg","1","2"
"16/04/2012","Helsingborg","GAIS","1","1"
"16/04/2012","Kalmar","Hacken","3","1"
"16/04/2012","Norrkoping","Sundsvall","2","2"
"16/04/2012","Djurgarden","Malmo FF","2","3"
"20/04/2012","Mjallby","Djurgarden","4","3"
"21/04/2012","Atvidabergs","Helsingborg","1","2"
"21/04/2012","Kalmar","Gefle","0","1"
"22/04/2012","GAIS","Norrkoping","2","0"
"22/04/2012","AIK","Sundsvall","1","1"
"23/04/2012","Hacken","Goteborg","1","2"
"23/04/2012","Malmo FF","Syrianska","2","0"
"23/04/2012","Orebro","Elfsborg","0","2"
"26/04/2012","Elfsborg","GAIS","2","1"
"26/04/2012","Gefle","AIK","0","1"
"27/04/2012","Helsingborg","Mjallby","1","1"
"28/04/2012","Syrianska","Hacken","1","2"
"28/04/2012","Goteborg","Atvidabergs","2","1"
"29/04/2012","Djurgarden","Kalmar","1","1"
"29/04/2012","Sundsvall","Orebro","3","1"
"29/04/2012","Norrkoping","Malmo FF","3","2"
"02/05/2012","Atvidabergs","Hacken","0","3"
"02/05/2012","Goteborg","Sundsvall","2","0"
"02/05/2012","Syrianska","Elfsborg","1","4"
"02/05/2012","Helsingborg","AIK","0","0"
"03/05/2012","Djurgarden","Orebro","2","1"
"03/05/2012","Gefle","Norrkoping","0","2"
"03/05/2012","Mjallby","Malmo FF","2","2"
"04/05/2012","Kalmar","GAIS","2","2"
"05/05/2012","Sundsvall","Helsingborg","0","1"
"06/05/2012","Norrkoping","Syrianska","1","4"
"06/05/2012","Malmo FF","Atvidabergs","2","1"
"07/05/2012","GAIS","Mjallby","2","2"
"07/05/2012","Orebro","Kalmar","0","1"
"07/05/2012","Elfsborg","Goteborg","1","0"
"08/05/2012","AIK","Djurgarden","1","1"
"10/05/2012","Hacken","Gefle","3","0"
"10/05/2012","Malmo FF","Helsingborg","3","0"
"11/05/2012","Syrianska","GAIS","2","0"
"12/05/2012","Djurgarden","Atvidabergs","1","1"
"12/05/2012","Kalmar","Mjallby","1","2"
"13/05/2012","Norrkoping","Orebro","3","0"
"13/05/2012","Elfsborg","AIK","1","0"
"13/05/2012","Helsingborg","Hacken","3","2"
"14/05/2012","Gefle","Sundsvall","0","0"
"14/05/2012","Goteborg","Malmo FF","2","2"
"16/05/2012","Atvidabergs","Syrianska","1","0"
"16/05/2012","Hacken","Norrkoping","6","0"
"16/05/2012","Kalmar","Helsingborg","1","1"
"16/05/2012","Orebro","AIK","2","2"
"17/05/2012","GAIS","Sundsvall","1","2"
"17/05/2012","Mjallby","Goteborg","1","1"
"17/05/2012","Djurgarden","Gefle","1","1"
"17/05/2012","Malmo FF","Elfsborg","1","0"
"20/05/2012","Atvidabergs","Kalmar","3","0"
"20/05/2012","Hacken","Djurgarden","1","1"
"20/05/2012","AIK","Norrkoping","5","2"
"20/05/2012","Mjallby","Gefle","0","0"
"20/05/2012","Orebro","Syrianska","0","1"
"21/05/2012","Sundsvall","Elfsborg","0","3"
"21/05/2012","GAIS","Goteborg","1","1"
"23/05/2012","Gefle","Orebro","2","1"
"23/05/2012","Helsingborg","Djurgarden","1","1"
"23/05/2012","Norrkoping","Atvidabergs","2","2"
"23/05/2012","Syrianska","Mjallby","2","1"
"24/05/2012","AIK","GAIS","1","0"
"24/05/2012","Elfsborg","Hacken","2","0"
"24/05/2012","Goteborg","Kalmar","1","1"
"24/05/2012","Sundsvall","Malmo FF","1","1"
"30/06/2012","Atvidabergs","Elfsborg","5","1"
"30/06/2012","Hacken","Sundsvall","1","2"
"30/06/2012","Kalmar","Syrianska","3","0"
"30/06/2012","Mjallby","Norrkoping","0","2"
"02/07/2012","Helsingborg","Gefle","4","1"
"02/07/2012","Malmo FF","AIK","4","0"
"03/07/2012","Djurgarden","Goteborg","3","2"
"05/07/2012","GAIS","Orebro","0","1"
"07/07/2012","Sundsvall","Atvidabergs","3","3"
"07/07/2012","Syrianska","Djurgarden","1","1"
"08/07/2012","AIK","Hacken","3","1"
"08/07/2012","Gefle","GAIS","0","0"
"08/07/2012","Elfsborg","Mjallby","0","0"
"08/07/2012","Norrkoping","Kalmar","2","1"
"09/07/2012","Orebro","Malmo FF","2","1"
"09/07/2012","Goteborg","Helsingborg","1","1"
"14/07/2012","Atvidabergs","AIK","2","0"
"14/07/2012","Goteborg","Gefle","1","1"
"14/07/2012","Helsingborg","Syrianska","1","0"
"14/07/2012","Mjallby","Sundsvall","1","0"
"15/07/2012","Orebro","Hacken","1","2"
"15/07/2012","Kalmar","Elfsborg","2","1"
"16/07/2012","Djurgarden","Norrkoping","1","1"
"16/07/2012","Malmo FF","GAIS","2","0"
"19/07/2012","Hacken","Orebro","2","1"
"21/07/2012","Gefle","Goteborg","5","0"
"21/07/2012","Sundsvall","Mjallby","3","1"
"21/07/2012","Syrianska","Helsingborg","1","3"
"22/07/2012","Elfsborg","Kalmar","3","0"
"22/07/2012","AIK","Atvidabergs","1","0"
"23/07/2012","GAIS","Malmo FF","2","3"
"23/07/2012","Norrkoping","Djurgarden","1","1"
"27/07/2012","Atvidabergs","Orebro","1","1"
"28/07/2012","Gefle","Malmo FF","0","2"
"28/07/2012","Helsingborg","Norrkoping","1","2"
"29/07/2012","Mjallby","AIK","0","1"
"29/07/2012","Djurgarden","Elfsborg","0","0"
"29/07/2012","Kalmar","Sundsvall","1","1"
"30/07/2012","Hacken","GAIS","3","1"
"31/07/2012","Goteborg","Syrianska","1","0"
"04/08/2012","GAIS","Atvidabergs","2","2"
"04/08/2012","Syrianska","Gefle","1","0"
"05/08/2012","Malmo FF","Hacken","0","0"
"05/08/2012","AIK","Kalmar","1","2"
"06/08/2012","Orebro","Mjallby","0","1"
"06/08/2012","Sundsvall","Djurgarden","0","1"
"06/08/2012","Norrkoping","Goteborg","0","0"
"10/08/2012","Gefle","Djurgarden","0","1"
"11/08/2012","Sundsvall","GAIS","2","0"
"11/08/2012","Syrianska","Atvidabergs","2","2"
"12/08/2012","AIK","Orebro","3","0"
"12/08/2012","Goteborg","Mjallby","4","2"
"12/08/2012","Helsingborg","Kalmar","7","2"
"12/08/2012","Elfsborg","Malmo FF","4","1"
"12/08/2012","Norrkoping","Hacken","1","2"
"18/08/2012","Elfsborg","Helsingborg","2","1"
"24/08/2012","Orebro","Gefle","1","2"
"25/08/2012","Djurgarden","Helsingborg","3","1"
"26/08/2012","GAIS","AIK","0","1"
"26/08/2012","Hacken","Elfsborg","4","2"
"26/08/2012","Kalmar","Goteborg","3","0"
"27/08/2012","Malmo FF","Sundsvall","2","0"
"27/08/2012","Mjallby","Syrianska","0","2"
"27/08/2012","Atvidabergs","Norrkoping","1","1"
"31/08/2012","Hacken","Atvidabergs","5","2"
"31/08/2012","Orebro","Djurgarden","2","3"
"01/09/2012","Malmo FF","Mjallby","1","1"
"02/09/2012","AIK","Helsingborg","2","1"
"02/09/2012","GAIS","Kalmar","1","2"
"02/09/2012","Elfsborg","Syrianska","1","0"
"02/09/2012","Norrkoping","Gefle","0","1"
"02/09/2012","Sundsvall","Goteborg","3","3"
"14/09/2012","Syrianska","Norrkoping","1","2"
"15/09/2012","Mjallby","GAIS","4","0"
"15/09/2012","Helsingborg","Sundsvall","4","0"
"16/09/2012","Djurgarden","AIK","0","3"
"16/09/2012","Goteborg","Elfsborg","2","1"
"17/09/2012","Gefle","Hacken","0","2"
"17/09/2012","Kalmar","Orebro","1","2"
"17/09/2012","Atvidabergs","Malmo FF","0","1"
"21/09/2012","Djurgarden","Hacken","0","3"
"22/09/2012","Syrianska","Orebro","2","2"
"23/09/2012","Elfsborg","Sundsvall","0","0"
"23/09/2012","Gefle","Mjallby","1","0"
"23/09/2012","Kalmar","Atvidabergs","2","0"
"23/09/2012","Norrkoping","AIK","2","2"
"24/09/2012","Goteborg","GAIS","0","0"
"24/09/2012","Helsingborg","Malmo FF","1","1"
"26/09/2012","Atvidabergs","Djurgarden","2","1"
"26/09/2012","Mjallby","Kalmar","1","0"
"26/09/2012","Orebro","Norrkoping","0","1"
"26/09/2012","Sundsvall","Gefle","0","1"
"26/09/2012","AIK","Elfsborg","1","1"
"27/09/2012","Hacken","Helsingborg","2","2"
"27/09/2012","Malmo FF","Goteborg","1","2"
"28/09/2012","GAIS","Syrianska","1","4"
"30/09/2012","Helsingborg","Atvidabergs","3","0"
"30/09/2012","Sundsvall","AIK","2","3"
"30/09/2012","Elfsborg","Orebro","1","0"
"30/09/2012","Gefle","Kalmar","0","0"
"01/10/2012","Djurgarden","Mjallby","0","1"
"01/10/2012","Norrkoping","GAIS","7","2"
